headline,clickbait
Madonna Gets Freaky On Stage With Her Biggest Fan,1
Check Out These 5 Simple Tricks To Mess With Your Friends,1
24 Realities Of Your Halloween,1
I Don't Owe Anyone My Body,1
Pigskin A Blanket: NFL Week 13 Picks,1
Which Member Of Girls Aloud Are You,1
The 21 Craziest Fan Theories Of 2015,1
We Know Your Age Based On The Words You Hate The Most,1
21 Deliciously Warming West African Dishes You Should Be Eating This Winter,1
23 Places You Won't Believe Are In England,1
19 Iconic Lessons Britney Spears Taught Us About Life,1
17 Ways To Have A Crafternoon With A Bottle Of Booze,1
17 Things Everyone Regrets Doing In Freshers' Week,1
How Sex Attractive Are You,1
12 Amazing YA Books By Latino Authors You Wont Be Able To Put Down,1
We Know Which Country You're Going To Die In Based On One Question,1
"How Well Do You Remember The Lyrics To ""No Scrubs""",1
This Is Why Ramen Has Never Looked So Good,1
"Can We Guess Your Favorite Sex Position Based On Your Favorite ""Friends"" Character",1
Dakota Johnson And Leslie Mann Hilariously Hit On A Hot Reporter,1
There's A Weird Geographical Quirk About Sweden's Match Against Denmark This Week,1
A High School Football Star Was Paralyzed After A Person Texted While Driving,1
This Test Will Determine If Nature Or Nurture Runs Your Life,1
What Kind Of Introvert Are You,1
21 Things Everyone With A Vagina Should Know About Kegels,1
What Is Britney Spears Dreaming About In This Photo,1
Can We Guess What You Hate Most Based On How You Swear,1
Which Condiment Matches Your Personality,1
"A Full Breakdown Of The Long Feud Involving Amber Rose, Kanye West, And The Kardashians",1
25 Adorable Animals To Brighten Your Day,1
This Animal Test Will Reveal How You Truly See Yourself,1
27 Gluttonous Foods To Eat Before Your New Year's Resolution Kicks In,1
16 New Year's Resolutions Only Book Nerds Can Relate To,1
16 Celebrities You Had No Idea Were British,1
This Video Of A Dying Dog Being Nursed Back To Health Is Heartwarmingly Beautiful,1
21 Dogs Who Take Their Jobs Very Seriously,1
11 Arts And Crafts Projects That Prove Mason And Penelope Disick Are Creative Geniuses,1
If Rom Coms Were Realistic,1
Ranveer Singh Talked About Facing The Casting Couch And It's Uncomfortably Real,1
How Do You Keep The Romance Alive After Kids,1
"15 Times ""Broad City"" Was The Best Part Of 2015",1
19 Reasons Filipino Christmas Is Actually The Best,1
13 Charts That Perfectly Sum Up The Reality Of Planning A Wedding,1
What Pet Name Should You Bestow Upon Your Significant Other,1
9 Women In Movies Who Somehow Brought In All The Money This Year,1
25 Real AF Struggles Anyone Who Works Out Will Recognize,1
Can You Name The Christmas Movie From The Distorted Scene,1
Justin Bieber's Dad Sent This Really Awkward Tweet About His Son's Penis,1
Here's How To Make An Easy One-Pot Winter Chili,1
Can You Actually Name These Pixar Characters,1
"Your Soulmate Tom Hiddleston Is Really, Really Good At Impressions",1
24 Amazing Products To Let The World Know You're A Burger Fan,1
23 Things Your RA Doesn't Want You To Know,1
Awkward Commercial Kiss,1
What About You Are People Most Attracted To,1
18 Hangover Texts That Are Just Too Real,1
What Do You Really Need To Hear Right Now,1
26 Things People In A Relationship Will Never Ever Understand,1
Here's How People LOL Differently Around The World,1
What It's Like To Date When You Can't Have Sex,1
"A Physicist Tweeted That Gravitational Waves ""May Have Been Discovered"" And People Are Excited",1
This Girl Cried When She Tried Pepsi For The First Time Because Life Is So Much Sometimes,1
Which Halsey Song Are You,1
Vin Diesel Shut Down Body Shamers With A Single Instagram,1
How Glamorous Are You Actually,1
The Full Story Of How 2015 Was The Year Humanity Lost All Hope,1
24 Forgotten Items All Late '90s Teen Girls Were Slightly Obsessed With,1
16 Photos That Prove Just How Hardcore Curling Is,1
This Peeing Drunk With Your BFF Infographic Is Too Real,1
How King Bach Dominated Vine,1
Everything You Thought You Knew About Washing Your Sheets Is Wrong,1
The 38 Most Awkward Cats Of 2015,1
27 Struggles People Who Don't Have Big Boobs Will Never Understand,1
Here's How To Actually Get Fit When You're A College Student,1
18 Texts From Moms That Have NO IDEA What They're Doing,1
20 Painfully Honest Confessions From Women With Polycystic Ovary Syndrome,1
Why Everyone Needs To Stop Body-Shaming Cheryl Fernandez-Versini,1
18 Animals So Weird They're Probably Fake,1
This Bride Eating A Burger At A Hockey Game In Her Wedding Dress Is All Of Us,1
Pick A Heart To Get A Positive Message Just For You,1
This Food Test Will Determine If You're Actually From Maryland,1
"This ""Gilmore Girls"" Fan Designs Beautiful Posters Inspired By The Show",1
24 Times Ruby Rose And Phoebe Dahl Defined Relationship Goals In 2015,1
We Know What Kind Of Sexts You Send,1
Which Famous Vampire Should You Date Based On Your Zodiac Sign,1
This Color Test Will Determine Your Go-To Sex Move,1
Tell Us The Creepiest Thing A Child Has Ever Said To You,1
25 Feminist Songs That Always Make You Feel Like A Boss,1
33 Impossibly Cute Ways To Cover Your Body In Books,1
What Will Your Old Person Hobby Be,1
"21 Times ""Catastrophe"" Perfectly Summed Up Life In Your Thirties",1
"Parents Are Irate Over A Children's Book Called ""Do You Want To Play With My Balls?""",1
Here's What Happened When Americans Were Given 10 Minutes To Describe Everything British,1
10 Pairs Of Unrelated Films Summed Up In The Same Sentence,1
How Well Do You Actually Know Cher Horowitz,1
We Need To Talk About Janet Jackson's Side-Eye,1
Evan Rachel Wood Just Made The Most Amazing Comments About Bisexuality,1
29 Autocorrect Fails That Are Never Not Funny,1
How Can You Lose 50+ Pounds,1
15 Ways We Actually Express Ourselves,1
"Meet Alice In Wonderland's Daughter On Disney's ""Descendants: Wicked World""",1
Find Out What You Should Watch On Netflix This February,1
Here's Everyone Who Attended The BAFTAs,1
Getting A Phone Call In 2016,1
53 Wonderfully Pointless Facts About The English Language,1
What's The Most Shocking Way You've Injured Yourself,1
How Many Iconic Early '00s Movies Have You Actually Seen,1
18 Genius Ways To Eat Cheese For Every Meal,1
What Number Are You,1
Rose McGowan Defends Comments Criticizing Caitlyn Jenner's Understanding of Womanhood,1
Kids Try Coffee For The First Time,1
Here's What You Need To Know About Getting Popular Tattoos,1
20 Things That Happen When You're Out With The Squad,1
Which Person Should Write You A Haiku For Valentine's Day,1
How Much Of A Grinch Are You,1
Steven Avery's Son Doesn't Think His Dad Is Guilty Of Murder,1
An Ode To Yolanda Foster's Malibu Mansion,1
9 Safety Tips To Keep Your Pet Happy And Healthy This Fall,1
"Kristen Stewart Thinks People Should ""Do Something"" About The Lack Of Gender Equality",1
14 Types Of People At Every College Party,1
17 Incredibly Important Life Lessons We Can Learn From Winona Ryder,1
Easy DIY Halloween Nails,1
10 Awesome Things You Can Make Out Of Duct Tape,1
Who Said It: Chandler Bing Or Liz Lemon,1
Tell Us About Yourself(ie): Adam Copeland,1
"Do You Remember The Lyrics To Ashlee Simpson's ""L.O.V.E.""",1
21 Gloriously Cheesy Desserts,1
We Got Eyebrow Extensions And The Transformations Were Unreal,1
11 Types Of Student Everyone Meets At University,1
Here Are All The Winners At The 2016 Golden Globes,1
24 Things You'll Understand If You Think Working Out Is The Worst,1
Thoughts During A Pedicure,1
Why This TV Show Featured Full-Frontal Male Nudity,1
What's The Most Savage Thing Your Grandma Has Ever Said To You,1
"P. Diddy's ""I Need A Girl (Part One)"" Was The Best R&B Song Of The Early 2000s",1
21 Cosy AF Bedroom Goals,1
17 Books With LGBT Characters That Will Actually Change Your Life,1
These 17 Inappropriate Pumpkins Will Make You Feel Things,1
Women Discuss Crushing On Friends,1
Can You Match The Flame Test Colour To The Element,1
22 Photos That Prove Britain Is A Fictional Country,1
17 Babysitting Horror Stories That Prove Kids Are The Worst,1
These Insane Sandcastle Hotels Really Exist And You Can Actually Stay In Them,1
Which Drake Album Matches Your Personality,1
How Dirty Minded Are You Really,1
Couples Find Out If Their Stories Of How They Met Add Up,1
33 Love Songs From The Early '00s You'll Never Forget,1
17 Problems You'll Understand If You're Tall-Ish,1
17 Things Plus-Size Women Can't Possibly Do,1
Can You Identify The Elements From Their Periodic Symbols,1
What Baskin Robbins Flavor Are You Based On The Day You Were Born,1
19 Words That Mean Something Completely Different When You're Obsessed With Makeup,1
27 Totally Hilarious Family Photos,1
I Turned My LinkedIn Profile Into A Dating Profile,1
Here's How To Step Up Your Selfie Game By Thinking Creatively,1
"Emma Watson Was Told Not To Use The Word ""Feminism"" During A Speech About Equality",1
How Well Do You Actually Know Prince Eric,1
This Writer Penned A Poem For Each Night She Went Over The Manhattan Bridge,1
We Know Your Favorite Disney Movie Based On Your Favorite Dog,1
22 Hilarious Holiday Cards For People Who Love Food,1
17 Times Netflix And Chill Was The Greatest Meme Ever,1
Donald Trump In Famous Horror Movie Scenes Will Petrify You,1
21 Times Chris Pratt Was Too Good For This World,1
29 Tweets About Technology Guaranteed To Make You Laugh,1
"30 Words For ""Fart,"" Ranked",1
We Need To Discuss Global Treasure Alicia Vikander,1
21 Tumblr Posts That Will Speak Directly To Your Soul During Finals Week,1
9 Recipes For People Who Are Obsessed With Pork And Slow Cookers,1
These Microscopic Videos Will Make Your Skin Crawl In A Good Way,1
32 Times Lady Gaga Slayed The Shit Out Of Us On Instagram,1
18 Things To Do With A Date Besides Netflix And Chill,1
"Which Hogwarts Houses Do These ""Game Of Thrones"" Characters Belong In",1
Britney Spears Googled A Picture Of Corn To Post On Instagram,1
These Hollywood Actors Performed Monologues Of Other Women's Abortion Stories,1
16 Spanish Landmarks That Are Actually Crap,1
12 Disneyland Treats You Can Only Indulge In During The Holidays,1
21 Delicious Cookie Recipes To Make This Fall,1
Guy Friends Get Naked And Bare All,1
22 Cats We've All Been At Some Point In Our Lives,1
12 Amazing Photos That Will Make You Feel So Very Insignificant,1
"Which Is Better: ""Hocus Pocus"" Or ""Halloweentown""",1
"Daniel Radcliffe Really Wants You To Know That He Didn't Masturbate On The Set Of ""Harry Potter""",1
Signs You're An Old Married Couple,1
"Do You Say ""Awnt"" Or ""Ant""",1
This Gorgeous Man Travels The World Eating Pizza,1
This Guy Forgot His ID And Became Every Bouncer's Worst Nightmare,1
Signs You Grew Up Italian-American,1
19 Reasons Straight Women Should Stay Single Forever,1
What Boozy Drink Should You Have After Work,1
Isn't It Time For A New Religion,1
"7 Essays To Read: Smoking To Get Sober, Asian Pseudonyms, And Loneliness",1
19 Things All Students Have Experienced,1
23 Things Every Music Nerd Will Find Funny,1
21 Times Blue Ivy's Hair Stunted On Toddlers Everywhere,1
We Can Guess Your Age With Just Three Questions About Your WhatsApp Habits,1
The 24 Best Literary Debuts Of 2015,1
Women Share Their First Queer Crush,1
21 Crock Pot Dump Dinners For Winter,1
An Adorable Animals Advent Calendar: December 6,1
This Pastry Chef Matches His Treats To His Outfit And It Works,1
Are You More Hogwarts Or Xavier's,1
8 Animals That May Not Survive 2016,1
17 Severely Relatable Moments For Anyone With Gift-Opening Anxiety,1
Which Shia Are You Based On Your Favorite Hole,1
16 Siblings Who Had The Last Laugh,1
23 Things That Are Way Too Real If You've Been Single For Over A Year,1
Which Random Hogwarts Student Are You Based On Your Zodiac Sign,1
21 Times Pit Bulls Were Good People,1
22 Struggles People Who Don't Wear Glasses Will Never Understand,1
What Happens When A Couple Reveals Their Sexual Fantasies To Each Other,1
"There's A New Character Named Linkle In An Upcoming ""Zelda"" Game",1
12 Unexpectedly Bizarre Moments From British Court Cases,1
"This Is Julia, Sesame Street's First Character With Autism",1
24 Pictures That Are Way Too Real For Everyone With Long Hair,1
How Full Of Crap Is Your House,1
"The One Thing You Never Noticed About ""Tarzan""",1
"Which Lyon Brother On ""Empire"" Is The Most Fine",1
Gabrielle Union And Dwyane Wade Made Their Wedding Video Look Like A Rom-Com Trailer,1
17 Gifts Every ShondaLand Fan Will Love,1
How Well Do You Know Regina George,1
15 Texts Everyone Dreads Getting During Fall,1
"Hey, McDonald's: Fix Your Damn Ice Cream Machine",1
18 TV Characters Who Prove Gryffindors Are The Absolute Best,1
17 Powerful Quotes About Racism In America,1
Here's Why People Are Upset At Amazon's New Seattle Bookstore,1
BuzzFeed Press Blog,1
15 Christmas Emojis You Could Definitely Use Right Now,1
"How Long Would You Last In Kappa Kappa Tau On ""Scream Queens""",1
17 Mouthwatering Ways To Have A Love Affair With Strawberries,1
What Celebrity Body Part Are You,1
36 Of The Absolute Best Curvy Costume Ideas,1
Can You Guess The Smashed Up Valentine's Day Candy,1
You Can Now Show You're Really Interested On Tinder By Swiping Up,1
9 Times Olivia Was Ashamed Of Raven-Symone,1
We Live In A Craven Universe Where Scott Disick Doesn't Have A Wikipedia Page,1
7 Very Easy Ways To Eat Healthier This Week,1
17 Struggles Of Having Parents Who Hate The Way You Dress,1
Serious Question: Is This Brad Pitt Or Not,1
"We Really, Really Need To Talk About Harry Styles' Hair",1
23 Food Truths Only Mexicans Would Understand,1
The Shade Room Is Coming For The Gossip Industry's Wig,1
I Went To The Sylvester Stallone Memorabilia Preview And Asked To Smell Rocky's Gloves,1
The Rock Had To Put One Of His Puppies To Sleep After It Ate A Poisonous Mushroom,1
18 Things All Gin Drinkers Need In Their Life,1
This Story About Alan Rickman And Rupert Grint Bonding Is Lovely,1
Krampus Is The Terrifying Holiday Movie You Didn't Know You Needed,1
Asian Women Watched Asian Porn And They Were Horrified,1
21 Martinis For People Who Are Definitely Not James Bond,1
"We Asked Couples Try Each Other's Hobbies And It Was Pretty, Pretty Cute",1
"We Need To Talk About Lex Luthor In ""Batman V Superman""",1
Today's Good Nice Horoscope For All Humans,1
Relax And Watch This Hamster Eat A Little Carrot,1
What's The Weirdest Sex Toy You've Ever Seen,1
Cher Destroys Donald Trump In One Little Tweet,1
Your Choice Of Christmas Cupcake Will Reveal Your Darkest Secret,1
18 Differences Between Snow Days In Canada And America,1
"This Slow Cooker Pork Rice Bowl Is Quick, Easy, And Filling",1
25 Ridiculously Romantic Moments That Made Us Cry In 2015,1
Which Snake Are You,1
Everyone's Confused Why Sting Is Performing The NBA All-Star Halftime Show In Toronto,1
Stunning Vintage Photos Reveal The Brief Life Of Artist Eva Hesse,1
22 Times Animals Were You Just Trying To Live Your Life,1
What Will Your New Year's Eve Be Like,1
"What ""Harry Potter"" Pick Up Line Should You Use",1
Just A Collection Of People Scolding Each Other On YouTube,1
Here's How To Make Grilled Cheese Sandwiches Filled With Beer,1
"Guys, ""America's Next Top Model"" Is Returning To TV",1
This Guy Pranked His Girlfriend Every Time He Took Her Photo By Filming A Video Instead,1
21 Unexpected Things You Can Make In A Rice Cooker,1
"The New ""Spaceballs: The Schwartz Awakens"" Trailer Will Make You Feel Like A Kid Again",1
This Story Is For Anyone With Reservations About Bringing Syrian Refugees To Canada,1
17 Boozy Ice Cream Treats You Can Actually Make This Holiday Season,1
When You're In Love With Your Best Friend,1
You Will Actually Die From How Mind-Blowing The New Circle K Logo Is,1
17 Pictures That Are Way Too Real For Everyone Who Hates Going Out,1
Which Dog Breed Are You Based On Your Zodiac Sign,1
21 Things Every Minnesotan Has To Do At The Start Of Winter,1
Ask Sarah Jessica Parker Anything You've Ever Wanted To Know About Her,1
Can We Guess Your Age Based On Which Colors Your Choose,1
Channing Tatum Is The Most Emo Guy At The Golden Globe Awards,1
31 Tweets About Exercise That Will Make You Laugh Out Loud,1
What's The Strangest Way You've Seen A Dress Code Enforced,1
This Is The Difference Between People With Social Anxiety And Without,1
We Had People Try The Smelliest Fruit In Front Of A Live Audience,1
"See How Well You Know These ""Arrested Development"" Characters",1
Today's Dose Of WTF: Four Topless Women Did Bollywood Dancing At Times Square Wearing Only Body Paint,1
19 Pictures That Sum Up How Absolutely Ridiculous It Is Finding A Job,1
"Which ""Harry Potter"" Sweet Should You Eat This Halloween",1
"The ""20 Minutes In, He Gives You That Look"" Puzzle",1
"Which Little Mix ""Get Weird"" Song Are You",1
Jennifer Lawrence Hates New Year's Eve For The Same Reason We All Do,1
This Is Why Mainland Europe Is Better At Christmas Than Everyone Else,1
People Try Activated Charcoal Drinks,1
This Is What Disney Villains Would Look Like In Real Life,1
Which Motivational Shia LaBeouf GIF Do You Need To See Today,1
